source_file,docket_number,date,court,reference
001713Kss_110_20120514080258_prevedeno.txt,13  Kss  17/2011  -  53,2012-04-11,SupAdmCo,c. j. 0 Nt 658/2010
001713Kss_110_20120514080258_prevedeno.txt,13  Kss  17/2011  -  53,2012-04-11,SupAdmCo,c. j. CPUL-54-1/TČ-2010-044040
0074_1Afs_11_20120123081444_prevedeno.txt,1  Afs  74/2011  -  126,2012-01-04,SupAdmCo,cj. 77727/06/155930
0074_1Afs_11_20120123081444_prevedeno.txt,1  Afs  74/2011  -  126,2012-01-04,SupAdmCo,cj. 30 Ca 3/2009 - 50
0074_1Afs_11_20120123081444_prevedeno.txt,1  Afs  74/2011  -  126,2012-01-04,SupAdmCo,cj. 12885/06/155930
0074_1Afs_11_20120123081444_prevedeno.txt,1  Afs  74/2011  -  126,2012-01-04,SupAdmCo,cj. ORSO-986/HK-2002
0074_1Afs_11_20120123081444_prevedeno.txt,1  Afs  74/2011  -  126,2012-01-04,SupAdmCo,cj. 82322/05/155930
0073_2Afs_14_20140523125134_prevedeno.txt,2  Afs  73/2014  -  36,2014-05-21,SupAdmCo,C-55/11
0073_2Afs_14_20140523125134_prevedeno.txt,2  Afs  73/2014  -  36,2014-05-21,SupAdmCo,C-57/11 a C-58/11
0073_6Ads_1000061A_prevedeno.txt,6  Ads  73/2010  -  61,2010-07-21,SupAdmCo,sp. zn. T 127/75
0014_7Afs_110_20110923094956_prevedeno.txt,7  Afs  14/2011  -  99,2011-07-28,SupAdmCo,c. j. 6 Ca 49/2004 - 39
0231_9As__1500064_20160108095917_prevedeno.txt,9  As  231/2015  -  64,2016-01-07,SupAdmCo,ve veci C-62/86
0231_9As__1500064_20160108095917_prevedeno.txt,9  As  231/2015  -  64,2016-01-07,SupAdmCo,ve veci C-202/07
0231_9As__1500064_20160108095917_prevedeno.txt,9  As  231/2015  -  64,2016-01-07,SupAdmCo,ve veci C-280/08
0169_5Afs_0600058A_prevedeno.txt,5  Afs  169/2006  -  58,2007-04-26,SupAdmCo,As 81/2003 - 47
0037_2Afs_0700097A_prevedeno.txt,2  Afs  37/2007  -  97,2008-04-10,SupAdmCo,c. j. 8973/05/187910/1291
0037_2Afs_0700097A_prevedeno.txt,2  Afs  37/2007  -  97,2008-04-10,SupAdmCo,c. 77/388/EHS
