soubor,spisovka,datum,soud,reference
0137_9Afs_1300013_prevedeno.txt,5 Afs 112/2006-41,2007-03-29,SupAdmCo,21 Cdo 1949/99 stanovisek pod c. 1/2001
000111Kss_1500085_20150727081811_prevedeno.txt,11 Kss 1/2015-85,2015-06-25,SupAdmCo,3 Tz 58/2014-37
0016_1As__0900115A_prevedeno.txt,1 As 16/2009-115,2009-05-20,SupAdmCo,Rc 22 Cdo 572/2003
0025_9As__1500052_20160719073736_prevedeno.txt,9 As 25/2015-52,2016-07-14,SupAdmCo,23 Cdo 318/2009-135
0010_0Konf110_20110823123725_prevedeno.txt,Konf 10/2011-7,2011-07-27,SupAdmCo,22 Cdo 1364/2010-111
0010_0Konf110_20110823123725_prevedeno.txt,Konf 10/2011-7,2011-07-27,SupAdmCo,Rc 22 Cdo 572/2003
0066_1Afs_14_20140820083804_prevedeno.txt,1 Afs 66/2014-55,2014-08-13,SupAdmCo,20 Cdo 2157/2011-212
0131_6As__1300136_20161122095626_prevedeno.txt,6 As 131/2013-136,2016-11-01,SupAdmCo,22 Cdo 3158/2009-267
0125_3As__13_20140306121935_prevedeno.txt,3 As 125/2013-11,2014-03-05,SupAdmCo,23 Cdo 349/10-111 a 23 Cdo 595/09-72
0222_1As__1700045_20180327151720_20180328112018_prevedeno.txt,1 As 222/2017-45,2018-02-28,SupAdmCo,22 Cdo 5330/2015-193
0308_0Na__1400009_20140930121258_prevedeno.txt,Na 308/2014-9,2014-09-23,SupAdmCo,22 Cdo 4392/2013-197
0016_6As__14_20140703131018_prevedeno.txt,6 As 16/2014-35,2014-06-25,SupAdmCo,20 Cdo 1243/2004-62
002510As__1400001_prevedeno.txt,4 As 28/2011-58,2011-12-01,SupAdmCo,22 Cdo 721/2002-27
0116_0Konf0900_34cf74ca_61b9_4631_acc0_bf71b76b9de1_prevedeno.txt,Konf 116/2009-57,2010-01-27,SupAdmCo,25 Cdo 2715/2009-71
0001_4Azs_130_20130521093636_prevedeno.txt,4 Azs 1 /2013-34,2013-04-26,SupAdmCo,11 Tcu 25/2012-15
0037_4As__1200_20121010035506_prevedeno.txt,4 As 37/2012-39,2012-09-20,SupAdmCo,28 Cdo 4410/2010-426
0010_0Konf1500011_20160331135308_prevedeno.txt,Konf 10/2015-11,2016-02-25,SupAdmCo,23 Cdo 318/2009-135
021010As__1600066_20180724131831_20180724140014_prevedeno.txt,10 As 210/2016-66,2018-06-28,SupAdmCo,zn. 30 Cdo 2715/2013
000511Kseo090_20120206090919_prevedeno.txt,11 Kseo 5/2009-99,2012-01-26,SupAdmCo,NS 25 Cdo 2813/2006
