soubor,spisovka,datum,soud,reference,soubor2,datum2,soud2
rozhodnuti-30_Cdo_1700_2016.txt,30 Cdo 1700/2016,2016-10-12,SupCo,1 As 51/2010,0051_1As__100_20101104021747_prevedeno.txt,2010-11-13,SupAdmCo
rozhodnuti-30_Cdo_2643_2013.txt,30 Cdo 2643/2013,2013-09-18,SupCo,5 Ads 1/2004,0001_5Ads_0400063A_prevedeno.txt,2004-05-20,SupAdmCo
rozhodnuti-30_Cdo_2643_2013.txt,30 Cdo 2643/2013,2013-09-18,SupCo,1 As 23/2009,0023_1As__0900103A_prevedeno.txt,2010-09-09,SupAdmCo
rozhodnuti-22_Cdo_613_2013.txt,22 Cdo 613/2013,2015-04-29,SupCo,9 As 73/2010-138,0073_9As__100_20110331034506_prevedeno.txt,2011-03-24,SupAdmCo
rozhodnuti-33_Cdo_4387_2013.txt,33 Cdo 4387/2013,2014-08-19,SupCo,3 As 60/2005,0060_3As__0500073A_prevedeno.txt,2006-03-22,SupAdmCo
rozhodnuti-Tpjn_306_2014.txt,Tpjn 306/2014,2015-06-25,SupCo,6 Ads 30/2012,0030_6Ads_120_20120629105942_prevedeno.txt,2012-06-06,SupAdmCo
rozhodnuti-4_Tdo_866_2018.txt,4 Tdo 866/2018,2018-09-25,SupCo,1 As 125/2011-163,0125_1As__110_20120130023924_prevedeno.txt,2012-01-11,SupAdmCo
rozhodnuti-29_Cdo_1167_2009.txt,29 Cdo 1167/2009,2010-10-26,SupCo,5 As 26/2009-67,0026_5As__0900_0ccead79_e27e_4785_8f9f_bcfbe62f465b_prevedeno.txt,2010-03-31,SupAdmCo
rozhodnuti-29_Cdo_1167_2009.txt,29 Cdo 1167/2009,2010-10-26,SupCo,5 As 39/2004-66,0039_5As__0400066A_prevedeno.txt,2006-06-27,SupAdmCo
rozhodnuti-29_Cdo_1220_2016.txt,29 Cdo 1220/2016,2017-03-29,SupCo,1 As 23/2009,0023_1As__0900103A_prevedeno.txt,2010-09-09,SupAdmCo
rozhodnuti-29_Cdo_1220_2016.txt,29 Cdo 1220/2016,2017-03-29,SupCo,1 Afs 5/2003,0005_1Afs_0300054A_prevedeno.txt,2004-03-30,SupAdmCo
rozhodnuti-29_Cdo_1220_2016.txt,29 Cdo 1220/2016,2017-03-29,SupCo,7 Ans 15/2012,0008_3Ans_1300001_prevedeno.txt,2012-09-04,SupAdmCo
rozhodnuti-32_Cdo_162_2017.txt,32 Cdo 162/2017,2017-06-07,SupCo,4 Ads 109/2013-28,0109_4Ads_130_20140522095459_prevedeno.txt,2014-04-30,SupAdmCo
rozhodnuti-5_Tdo_101_2014.txt,5 Tdo 101/2014,2014-04-23,SupCo,9 Afs 66/2010,0066_9Afs_100_20110202092708_prevedeno.txt,2011-01-13,SupAdmCo
rozhodnuti-22_Cdo_4450_2007.txt,22 Cdo 4450/2007,2009-10-21,SupCo,3 As 65/2006-98,0065_3As__0600098A_prevedeno.txt,2007-05-09,SupAdmCo
rozhodnuti-20_Cdo_1874_2016.txt,20 Cdo 1874/2016,2017-02-20,SupCo,3 Ads 111/2010,0111_3Ads_100_20110125090615_prevedeno.txt,2011-01-13,SupAdmCo
rozhodnuti-23_Cdo_1321_2010.txt,23 Cdo 1321/2010,2012-06-28,SupCo,Konf 97/2003-19,009711Konf0300019A_prevedeno.txt,2004-12-01,SupAdmCo
rozhodnuti-8_Tdo_928_2007.txt,8 Tdo 928/2007,2007-08-15,SupCo,4 Azs 102/2005,0102_4Azs_0500060A_prevedeno.txt,2006-02-17,SupAdmCo
rozhodnuti-29_Cdo_859_2015.txt,29 Cdo 859/2015,2015-03-31,SupCo,2 As 72/2003,0072_2As__0300074A_prevedeno.txt,2005-03-25,SupAdmCo
rozhodnuti-32_Cdo_1731_2017.txt,32 Cdo 1731/2017,2017-10-16,SupCo,6 As 40/2006,0040_6As__0600087A_prevedeno.txt,2007-04-26,SupAdmCo
rozhodnuti-7_Tdo_57_2008.txt,7 Tdo 57/2008,2008-02-13,SupCo,2 As 78/2006,0078_2As__0600064A_prevedeno.txt,2007-05-16,SupAdmCo
rozhodnuti-28_Cdo_1110_2010.txt,28 Cdo 1110/2010,2011-07-08,SupCo,2 As 25/2007-118,0025_2As__0700118A_prevedeno.txt,2009-02-17,SupAdmCo
rozhodnuti-28_Cdo_5966_2017.txt,28 Cdo 5966/2017,2018-03-28,SupCo,7 As 35/2015-63,0035_7As__1500063_20151211102437_prevedeno.txt,2015-11-23,SupAdmCo
rozhodnuti-7_Tdo_962_2012.txt,7 Tdo 962/2012,2012-08-29,SupCo,3 As 58/2007-117,0058_3As__0700117A_prevedeno.txt,2008-02-06,SupAdmCo
rozhodnuti-7_Tdo_962_2012.txt,7 Tdo 962/2012,2012-08-29,SupCo,2 As 89/2008-54,0089_2As__0800054A_prevedeno.txt,2009-01-15,SupAdmCo
rozhodnuti-32_Cdo_3754_2014.txt,32 Cdo 3754/2014,2016-09-08,SupCo,2 As 72/2011,0072_2As__110_20110718104258_prevedeno.txt,2011-07-08,SupAdmCo
rozhodnuti-32_Cdo_5223_2015.txt,32 Cdo 5223/2015,2017-11-15,SupCo,Konf 14/2010,0014_0Konf1000_30ddffcf_ba41_4a70_b5a2_8d3cc6ee4866_prevedeno.txt,2010-05-07,SupAdmCo
rozhodnuti-32_Cdo_5223_2015.txt,32 Cdo 5223/2015,2017-11-15,SupCo,2 Afs 49/2007,0049_2Afs_0700096A_prevedeno.txt,2008-05-22,SupAdmCo
rozhodnuti-6_Tdo_1018_2014.txt,6 Tdo 1018/2014,2014-10-30,SupCo,6 As 173/2014,0173_6As__1400186_20150609095609_prevedeno.txt,2015-05-28,SupAdmCo
