source_file,docket_number,date,court,reference,source_file2,date2,court2
2-1790-17_1.txt, II. US 1790/17, 2017-06-27,ConCo,25 Cdo 1713/2008,rozhodnuti-25_Cdo_1713_2008.txt,2010-08-25,SupCo
2-64-18_1.txt, II. US 64/18, 2018-03-20,ConCo,20 Cdo 4498/2009,rozhodnuti-20_Cdo_4498_2009.txt,2011-02-21,SupCo
2-438-14_1.txt, II. US 438/14, 2014-05-20,ConCo,30 Cdo 2870/2000,rozhodnuti-30_Cdo_2870_2000.txt,2000-12-13,SupCo
3-541-06.txt, III. US 541/06, 2007-01-31,ConCo,28 Cdo 2598/2005,rozhodnuti-28_Cdo_2598_2005.txt,2006-05-31,SupCo
4-2709-13_1.txt, IV. US 2709/13, 2014-03-07,ConCo,3 Tdo 550/2009,rozhodnuti-3_Tdo_550_2009.txt,2009-05-20,SupCo
4-2709-13_1.txt, IV. US 2709/13, 2014-03-07,ConCo,7 Tdo 900/2003,rozhodnuti-7_Tdo_900_2003.txt,2003-09-04,SupCo
4-2709-13_1.txt, IV. US 2709/13, 2014-03-07,ConCo,8 Tdo 709/2007,rozhodnuti-8_Tdo_709_2007.txt,2007-06-28,SupCo
3-2387-10_1.txt, III. US 2387/10, 2010-09-16,ConCo,21 Cdo 42/2006,rozhodnuti-21_Cdo_42_2006.txt,2007-01-03,SupCo
2-127-16_1.txt, II. US 127/16, 2016-03-07,ConCo,Cpjn 206/2010,rozhodnuti-Cpjn_206_2010.txt,2011-04-13,SupCo
1-609-05_1.txt, I. US 609/05, 2006-01-30,ConCo,7 Tdo 222/2003,rozhodnuti-7_Tdo_222_2003.txt,2003-03-12,SupCo
2-2452-14_1.txt, II. US 2452/14, 2015-03-25,ConCo,28 Cdo 1994/2002,rozhodnuti-28_Cdo_1994_2002.txt,2003-10-30,SupCo
3-532-03.txt, III. US 532/03, 2004-03-03,ConCo,20 Cdo 1827/99,rozhodnuti-20_Cdo_1827_99.txt,1999-10-27,SupCo
2-2256-07_1.txt, II. US 2256/07, 2007-09-17,ConCo,25 Cdo 2070/2006,rozhodnuti-25_Cdo_2070_2006.txt,2006-09-27,SupCo
1-715-04.txt, I. US 715/04, 2005-12-13,ConCo,21 Cdo 490/2004,rozhodnuti-21_Cdo_490_2004.txt,2004-08-12,SupCo
3-2431-16_1.txt, III. US 2431/16, 2017-01-10,ConCo,29 Cdo 1301/2013,rozhodnuti-29_Cdo_1301_2013.txt,2013-07-17,SupCo
1-2871-13_1.txt, I. US 2871/13, 2014-02-06,ConCo,26 Cdo 1817/2013,rozhodnuti-26_Cdo_1817_2013.txt,2013-08-21,SupCo
1-2871-13_1.txt, I. US 2871/13, 2014-02-06,ConCo,21 Cdo 121/2003,rozhodnuti-21_Cdo_121_2003.txt,2003-06-27,SupCo
1-1576-09_1.txt, I. US 1576/09, 2009-10-22,ConCo,22 Cdo 1580/2006,rozhodnuti-22_Cdo_1580_2006.txt,2009-03-31,SupCo
1-1608-10_1.txt, I. US 1608/10, 2010-07-13,ConCo,20 Cdo 2977/2008,rozhodnuti-20_Cdo_2977_2008.txt,2010-03-16,SupCo
4-547-05.txt, IV. US 547/05, 2006-01-23,ConCo,20 Cdo 817/2005,rozhodnuti-20_Cdo_817_2005.txt,2005-07-12,SupCo
4-547-05.txt, IV. US 547/05, 2006-01-23,ConCo,20 Cdo 2791/2004,rozhodnuti-20_Cdo_2791_2004.txt,2005-04-14,SupCo
3-17-02.txt, III. US 17/02, 2002-03-05,ConCo,30 Cdo 1447/2001,rozhodnuti-30_Cdo_1447_2001.txt,2001-10-17,SupCo
1-88-05.txt, I. US 88/05, 2005-06-14,ConCo,20 Cdo 2223/2003,rozhodnuti-20_Cdo_2223_2003.txt,2004-11-16,SupCo
2-3948-12_1.txt, II. US 3948/12, 2012-12-13,ConCo,25 Cdo 2731/2008,rozhodnuti-25_Cdo_2731_2008.txt,2010-09-08,SupCo
2-3948-12_1.txt, II. US 3948/12, 2012-12-13,ConCo,25 Cdo 1713/2008,rozhodnuti-25_Cdo_1713_2008.txt,2010-08-25,SupCo
3-2813-11_1.txt, III. US 2813/11, 2011-10-20,ConCo,28 Cdo 436/2007,rozhodnuti-28_Cdo_436_2007.txt,2007-11-30,SupCo
3-2813-11_1.txt, III. US 2813/11, 2011-10-20,ConCo,28 Cdo 1071/2007,rozhodnuti-28_Cdo_1071_2007.txt,2008-12-16,SupCo
3-2813-11_1.txt, III. US 2813/11, 2011-10-20,ConCo,28 Cdo 2789/2009,rozhodnuti-28_Cdo_2789_2009.txt,2009-08-25,SupCo
3-119-02.txt, III. US 119/02, 2002-09-05,ConCo,7 Tz 116/2000,rozhodnuti-7_Tz_116_2000.txt,2000-06-13,SupCo
1-112-02.txt, I. US 112/02, 2002-03-13,ConCo,30 Cdo 1909/2001,rozhodnuti-30_Cdo_1909_2001.txt,2001-11-28,SupCo
2-2911-17_1.txt, II. US 2911/17, 2017-10-17,ConCo,4 Tz 7/2013,rozhodnuti-4_Tz_7_2013.txt,2013-04-30,SupCo
2-666-05.txt, II. US 666/05, 2006-05-17,ConCo,20 Cdo 2791/2004,rozhodnuti-20_Cdo_2791_2004.txt,2005-04-14,SupCo
2-666-05.txt, II. US 666/05, 2006-05-17,ConCo,20 Cdo 186/2006,rozhodnuti-20_Cdo_186_2006.txt,2006-03-28,SupCo
3-3033-07_1.txt, III. US 3033/07, 2008-04-24,ConCo,22 Cdo 2205/2005,rozhodnuti-22_Cdo_2205_2005.txt,2006-08-28,SupCo
4-3703-16_1.txt, IV. US 3703/16, 2017-02-21,ConCo,25 Cdo 2506/2016,rozhodnuti-25_Cdo_2506_2016.txt,2016-07-28,SupCo
4-2963-08_1.txt, IV. US 2963/08, 2009-05-12,ConCo,28 Cdo 1584/99,rozhodnuti-28_Cdo_1584_99.txt,2000-07-20,SupCo
4-2963-08_1.txt, IV. US 2963/08, 2009-05-12,ConCo,28 Cdo 559/2003,rozhodnuti-28_Cdo_559_2003.txt,2003-12-09,SupCo
3-1061-14_1.txt, III. US 1061/14, 2014-07-24,ConCo,28 Cdo 321/2003,rozhodnuti-28_Cdo_321_2003.txt,2003-02-27,SupCo
