source_file,docket_number,date,court,reference
0084_0Vol_1700175_20171215093526_20171218130021_prevedeno.txt,Vol 84/2017 - 175,2017-12-13,SupAdmCo, I US 699/02
0020_9As__14_20140612152529_prevedeno.txt,9 As 20/2014 - 50,2014-06-12,SupAdmCo, III US 84/94
0020_9As__14_20140612152529_prevedeno.txt,9 As 20/2014 - 50,2014-06-12,SupAdmCo, III US 94/97
0020_9As__14_20140612152529_prevedeno.txt,9 As 20/2014 - 50,2014-06-12,SupAdmCo, II US 686/02
0070_2Afs_0400075A_prevedeno.txt,2 Afs 70/2004 - 75,2005-01-19,SupAdmCo, IV. US 239/2003
0054_7As__0700134A_prevedeno.txt,7 As 54/2007 - 134,2009-03-11,SupAdmCo,OUS?˜ U 06/15139/Ul
0001_1Afs_1300007_prevedeno.txt,8 Afs 14/2011 - 97,2011-05-31,SupAdmCo, IV. US 36/2010
0029_5Afs_120_20130226143151_prevedeno.txt,5 Afs 29/2012 - 47,2013-02-15,SupAdmCo, II. US 664/2004
0029_5Afs_120_20130226143151_prevedeno.txt,5 Afs 29/2012 - 47,2013-02-15,SupAdmCo, IV. US 591/2008
0031_7As__1400024_20150114132044_prevedeno.txt,7 As 31/2014 - 24,2014-12-18,SupAdmCo, II.US 268/06
0019_1Afs_120_20120920122044_prevedeno.txt,1 Afs 19/2012 - 42,2012-09-05,SupAdmCo, I US 1419/07
0233_9Azs_1700040_20180125142621_20180127130014_prevedeno.txt,9 Azs 233/2017-40,2018-01-16,SupAdmCo, III US 94/97
0233_9Azs_1700040_20180125142621_20180127130014_prevedeno.txt,9 Azs 233/2017-40,2018-01-16,SupAdmCo, II US 686/02
0107_6As__13_20130701113044_prevedeno.txt,6 As 107/2013 - 5,2013-06-04,SupAdmCo, III. US 3747/14
0197_7Azs_1800024_20180604095735_20180604162026_prevedeno.txt,7 Azs 197/2018 - 24,2018-05-31,SupAdmCo, Pl. US 41/17
0025_9Afs_0900061A_prevedeno.txt,9 Afs 25/2009 - 61,2009-04-02,SupAdmCo, I. US 447/2000 a I. US 448/2000
0006_8As__110_20120116123319_prevedeno.txt,8 As 6/2011 - 108,2011-06-29,SupAdmCo, Pl US 5/01
0046_5Ads_1700084_20180201083419_20180205150016_prevedeno.txt,5 Ads 46/2017 - 84,2018-01-31,SupAdmCo, Pl. US 15/12
0086_7Afs_110_20120905115823_prevedeno.txt,7 Afs 86/2011 - 143,2012-08-08,SupAdmCo, II. US 664/2004
0086_7Afs_110_20120905115823_prevedeno.txt,7 Afs 86/2011 - 143,2012-08-08,SupAdmCo, IV. US 591/2008
0269_6Afs_1500031_20160614095313_prevedeno.txt,6 Afs 269/2015 - 31,2016-05-26,SupAdmCo,c. Pl. US 33/97
0057_2Afs_130_20130726094055_prevedeno.txt,2 Afs 57/2013 - 34,2013-07-25,SupAdmCo, Pl. US 6/2102
0003_6Aps_120_20120926092552_prevedeno.txt,6 Aps 3/2012 - 57,2012-08-29,SupAdmCo, IV US 1720/11
0313_7Azs_1700052_20180327143731_20180327172031_prevedeno.txt,7 Azs 313/2017 - 52,2018-03-26,SupAdmCo, Pl. US 41/17
0182_4Afs_1600018_20170202142030_prevedeno.txt,4 Afs 182/2016 - 18,2017-01-25,SupAdmCo, Pl. US-st 33/11
0031_5Afs_130_20130923115855_prevedeno.txt,5 Afs 31/2013 - 24,2013-09-13,SupAdmCo, Pl. US 6/2012
0112_5As__1400033_20141118091047_prevedeno.txt,5 As 112/2014 - 33,2014-11-07,SupAdmCo, III. US 42/09
0014_7Afs_110_20121009014306_prevedeno.txt,7 Afs 14/2011 - 115,2012-09-18,SupAdmCo, Pl. US 3/00
0079_5Afs_130_20131121101716_prevedeno.txt,5 Afs 79/2013 - 28,2013-11-14,SupAdmCo, Pl. US 6/2012
0191_4As__1400023_20141021150836_prevedeno.txt,4 As 191/2014 - 23,2014-11-09,SupAdmCo,SMOL/140037/2012/OS/US/Sev
0011_5Afs_0700228A_prevedeno.txt,5 Afs 11/2007 - 228,2007-08-16,SupAdmCo, II US 686/02
0118_5Afs_0500041A_prevedeno.txt,5 Afs 118/2005 - 41,2008-07-23,SupAdmCo, Pl. US 72/2006
0002_7Afs_0500093A_prevedeno.txt,7 Afs 2/2005 - 93,2008-04-10,SupAdmCo, Pl. US 72/2006
0065_1Afs_130_20130912092935_prevedeno.txt,1 Afs 65/2013 - 32,2013-08-22,SupAdmCo, Pl. US 6/12
0124_7As__110_20120711020318_prevedeno.txt,7 As 124/2011 - 55,2012-06-14,SupAdmCo, Pl.US 4/03
0058_9Afs_0700096A_prevedeno.txt,9 Afs 58/2007 - 96,2008-11-16,SupAdmCo, I US 2345/07
0004_5As__110_20110630082718_prevedeno.txt,5 As 4/2011 - 82,2011-06-09,SupAdmCo, Pl. US-st 1/96
0115_8Azs_1600037_20161114083340_prevedeno.txt,8 Azs 115/2016 - 37,2016-11-02,SupAdmCo, IV. US 3928/12
0003_1Afs_0600126A_prevedeno.txt,1 Afs 3/2006 - 126,2008-05-07,SupAdmCo, Pl. US 72/2006
0082_9As__1400010_prevedeno.txt,7 As 107/2011 - 71,2011-11-24,SupAdmCo, Pl.US 4/03
0112_7As__1600033_20160905141518_prevedeno.txt,7 As 112/2016 - 33,2016-09-05,SupAdmCo, I US 741/06
0004_6Aps_13_20130806194331_prevedeno.txt,6 Aps 4/2013 - 8,2013-07-11,SupAdmCo, III. US 3747/14
0115_8Afs_0600128A_prevedeno.txt,8 Afs 115/2006 - 128,2007-11-22,SupAdmCo, IV.US 402/99
0064_4Ads_0800053A_prevedeno.txt,4 Ads 64/2008 - 53,2008-06-26,SupAdmCo, III.US 236/99
0001_9Aos_12_20131216071938_prevedeno.txt,9 Aos 1/2012 - 48,2013-12-11,SupAdmCo, Pl.US 8/02
0275_7As__1600050_20170608161730_prevedeno.txt,7 As 275/2016 - 50,2017-06-07,SupAdmCo, III US 153/97
0069_7As__100_20101102020311_prevedeno.txt, 7 As 69/2010 - 78,2010-09-30,SupAdmCo,120771/2007/KUSK
0027_1Afs_0800096A_prevedeno.txt,1 Afs 27/2008 - 96,2008-07-30,SupAdmCo,ve veci I. US 163/02
0027_1Afs_0800096A_prevedeno.txt,1 Afs 27/2008 - 96,2008-07-30,SupAdmCo, Pl. US 50/04 - Cukern?© kv??ty II.
0153_5As__1700014_20170711141505_prevedeno.txt,5 As 153/2017 - 14,2017-06-29,SupAdmCo, II. US 3748/14
0153_5As__1700014_20170711141505_prevedeno.txt,5 As 153/2017 - 14,2017-06-29,SupAdmCo, III. US 3747/14
0024_1Azs_0600068A_prevedeno.txt,1 Azs 24/2006 - 68,2007-02-21,SupAdmCo, Pl. US-st 20/05
0200_2Afs_0600066A_prevedeno.txt,2 Afs 200/2006 - 66,2007-11-10,SupAdmCo, IV US 19/02
