source_file,docket_number,date,court,reference
4-666-10_1.txt,IV. US 666/10,2010-06-03,ConCo,sp. zn. I.US 2884/08     
3-310-99.txt,III. US 310/99,2000-07-11,ConCo,K 41/93     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,140/2005 Sb.     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,ve veci Hirst proti Spojenemu Kralovstvi     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,c. 74025/01     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,ve veci Aziz proti Kypru     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,c. 69949/01     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,ve veci Melnychenko proti Ukrajine     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,c. 17707/02     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,495/2002 Sb.     
Pl-59-10_1.txt,Pl. US 59/10,2011-05-04,ConCo,207/1994 Sb.     
4-1389-09_1.txt,IV. US 1389/09,2009-06-11,ConCo,Sb. n. u. sv. 15    
4-1389-09_1.txt,IV. US 1389/09,2009-06-11,ConCo,c. 98     
1-143-07_2.txt,I. US 143/07,2009-02-25,ConCo,uverejnenem pod c. 3 v rocniku 2004 Sbirky soudnich rozhodnuti a stanovisek     
1-143-07_2.txt,I. US 143/07,2009-02-25,ConCo,vyhlasen pod c. 307/2007 Sb.     
4-2950-11_1.txt,IV. US 2950/11,2012-06-04,ConCo,sp. zn. 29 Odo 847/2001     
3-1338-07_1.txt,III. US 1338/07,2007-11-29,ConCo,sp. zn. 32 Odo 890/2003     
3-1338-07_1.txt,III. US 1338/07,2007-11-29,ConCo,sp. zn. 32 Odo 616/2003     
3-1338-07_1.txt,III. US 1338/07,2007-11-29,ConCo,sp. zn. 33 Odo 1455/2006     
3-1338-07_1.txt,III. US 1338/07,2007-11-29,ConCo,publ. ASPI JUD 38052CZ     
3-1338-07_1.txt,III. US 1338/07,2007-11-29,ConCo,uverejnenem pod c. 56/2005 ve Sbirce soudnich rozhodnuti a stanovisek     
2-4197-16_1.txt,II. US 4197/16,2017-01-11,ConCo,ve veci Kiousi proti Recku c. 52036/09     
3-411-02.txt,III. US 411/02,2002-09-05,ConCo,cj. 23 C 52/2002-10     
1-37-01.txt,I. US 37/01,2001-12-18,ConCo,43511
1-37-01.txt,I. US 37/01,2001-12-18,ConCo,c. j. PU 2905-H-1998     
4-186-14_1.txt,IV. US 186/14,2015-06-09,ConCo,Ustavni soud Ceske republiky: Sbirka nalezu a usneseni - sv. 1     
1-701-01.txt,I. US 701/01,2002-08-06,ConCo,sp. zn. 12 C 135/99     
4-2764-16_2.txt,IV. US 2764/16,2017-02-21,ConCo,ve veci Kyprianou proti Kypru     
1-52-03.txt,I. US 52/03,2003-06-26,ConCo,cj. VV-CD-3293/2002     
1-52-03.txt,I. US 52/03,2003-06-26,ConCo,cj. OLVV-264/02     
3-418-01.txt,III. US 418/01,2001-09-20,ConCo,sp. zn. 4 T 217/2000     
3-418-01.txt,III. US 418/01,2001-09-20,ConCo,c. l. 717     
3-2500-07_1.txt,III. US 2500/07,2008-01-30,ConCo,c.j. 44 C 370/2005-149     
4-493-02.txt,IV. US 493/02,2002-11-01,ConCo,sp. zn. 10C 120/2000     
4-493-02.txt,IV. US 493/02,2002-11-01,ConCo,cj. 10 C 120/2000-70     
1-423-05_1.txt,I. US 423/05,2005-12-08,ConCo,sp. zn. 39 T 5/2004     
3-1974-15_1.txt,III. US 1974/15,2016-02-23,ConCo,147/2012 Sb.     
2-135-02.txt,II. US 135/02,2002-05-06,ConCo,sp. zn. 5 C 109/96     
2-135-02.txt,II. US 135/02,2002-05-06,ConCo,cj. 33 Odo 525/2001-142     
2-482-04_1.txt,II. US 482/04,2007-09-06,ConCo,c. j. SCPP-1869-1/C-246-2004     
2-717-06.txt,II. US 717/06,2007-01-04,ConCo,sp. zn. 20 T 18/2002     
3-3211-08_1.txt,III. US 3211/08,2009-02-12,ConCo,c. 69     
3-3211-08_1.txt,III. US 3211/08,2009-02-12,ConCo,c. 25     
1-410-04.txt,I. US 410/04,2006-02-20,ConCo,sp. zn. 29 Odo 108/2002     
1-410-04.txt,I. US 410/04,2006-02-20,ConCo,publikovanem v casopise Soudni judikatura 7/2003 pod poradovym cislem 19     
1-410-04.txt,I. US 410/04,2006-02-20,ConCo,sp. zn. 29 Odo 25/2002 publikovanem v casopise Soudni judikatura 6/2005     
1-1276-10_1.txt,I. US 1276/10,2010-05-20,ConCo,c. j. 23 Co 583/2009-280     
Pl-18-18_1.txt,Pl. US 18/18,2018-04-17,ConCo,140/2005 Sb.     
1-921-09_2.txt,I. US 921/09,2010-06-30,ConCo,publikovano pod c. 477/2005 Sb.     
2-153-07.txt,II. US 153/07,2007-03-12,ConCo,c.j. 263/07     
4-927-08_1.txt,IV. US 927/08,2008-10-30,ConCo,Bati a ostatni proti Turecku Labita proti Italii Aksoy proti Turecku   
4-927-08_1.txt,IV. US 927/08,2008-10-30,ConCo,Slimani proti Francii McKerr proti Spojenemu Kralovstvi    
4-3350-09_1.txt,IV. US 3350/09,2010-02-23,ConCo,Ustavni soud Ceske republiky: Sbirka nalezu a usneseni - sv. 1     
1-3314-11_1.txt,I. US 3314/11,2012-10-02,ConCo,63/1997 Sb.     
1-3314-11_1.txt,I. US 3314/11,2012-10-02,ConCo,38/1999 Sb.     
1-3314-11_1.txt,I. US 3314/11,2012-10-02,ConCo,252/2006 Sb.     
1-3314-11_1.txt,I. US 3314/11,2012-10-02,ConCo,242/2010 Sb.     
3-530-99.txt,III. US 530/99,1999-11-25,ConCo,c. j. UDV-7/Vt-99     
4-1049-15_1.txt,IV. US 1049/15,2016-05-10,ConCo,sp. zn. 29 Odo 1319/2006     
1-245-15_1.txt,I. US 245/15,2015-08-18,ConCo,ve veci Gorou proti Recku     
1-245-15_1.txt,I. US 245/15,2015-08-18,ConCo,c. 12686/03     
2-3755-14_1.txt,II. US 3755/14,2015-01-12,ConCo,publ. pod c. 40/2014 Sb.     
1-158-02.txt,I. US 158/02,2002-06-11,ConCo,sp. zn. 3 T 4/60     
1-158-02.txt,I. US 158/02,2002-06-11,ConCo,Ustavni soud CR: Sbirka nalezu a usneseni sv. 16    
4-1183-17_1.txt,IV. US 1183/17,2017-04-26,ConCo,c. j. KULK 17845/2013     
3-870-09_1.txt,III. US 870/09,2010-03-04,ConCo,uverejneny v casopise Soudni judikatura pod c. SJ 67/2000     
3-870-09_1.txt,III. US 870/09,2010-03-04,ConCo,uverejnene ve Sbirce soudnich rozhodnuti a stanovisek pod c. 24/2002     
2-391-03.txt,II. US 391/03,2003-10-08,ConCo,Ustavni soud: Sbirka nalezu a usneseni sv. 4    
2-391-03.txt,II. US 391/03,2003-10-08,ConCo,c. 78     
4-649-02.txt,IV. US 649/02,2002-11-26,ConCo,c. 88     
4-438-06.txt,IV. US 438/06,2006-12-12,ConCo,vyhlasen pod c. pod c. 278/2004 Sb.     
4-438-06.txt,IV. US 438/06,2006-12-12,ConCo,ve vecech Beyeler proti Italii     
4-438-06.txt,IV. US 438/06,2006-12-12,ConCo,Zwierzynski proti Polsku     
4-438-06.txt,IV. US 438/06,2006-12-12,ConCo,ve veci Broniowski proti Polsku     
4-438-06.txt,IV. US 438/06,2006-12-12,ConCo,vyhlasen pod c. 63/1997 Sb.     
4-687-02.txt,IV. US 687/02,2003-01-24,ConCo,ve veci stiznosti c. 46129/99     
1-2597-09_1.txt,I. US 2597/09,2009-12-09,ConCo,cj. 19 C 59/2006 - 32     
4-436-06_1.txt,IV. US 436/06,2006-09-27,ConCo,sp. zn. 89 T 86/2005     
1-4029-14_1.txt,I. US 4029/14,2015-07-08,ConCo,publ. pod c. 2983/2014 Sb. NSS     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 41 C 241/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 41 C 281/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 41 C 293/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 41 C 309/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 399/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 411/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 423/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 435/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 447/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 522/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 534/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 546/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 558/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,sp. zn. 44 C 578/2006     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,vyhlasen pod c. 278/2004 Sb.     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,ve vecech Beyeler proti Italii     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,Zwierzynski proti Polsku     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,ve veci Broniowski proti Polsku     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,vyhlasen pod c. 63/1997 Sb.     
3-558-06.txt,III. US 558/06,2007-01-31,ConCo,vyhlasen pod c. 145/2002 Sb.     
2-273-96.txt,II. US 273/96,1997-03-13,ConCo,sp. zn. 20 C 215/92     
4-2898-07_1.txt,IV. US 2898/07,2008-01-24,ConCo,sp. zn. 31 Nt 1082/2006     
2-237-04.txt,II. US 237/04,2005-01-06,ConCo,sp. zn. III.US 150/93     
3-655-07_1.txt,III. US 655/07,2007-11-15,ConCo,Sbirka nalezu a usneseni - svazek 1     
3-655-07_1.txt,III. US 655/07,2007-11-15,ConCo,Sbirku nalezu a usneseni - svazek 8 nalez c. 76    
3-655-07_1.txt,III. US 655/07,2007-11-15,ConCo,Sbirku nalezu a usneseni - svazek 2 nalez c. 49    
4-2085-13_1.txt,IV. US 2085/13,2013-09-04,ConCo,R 6/2010     
4-2609-11_1.txt,IV. US 2609/11,2011-09-19,ConCo,I.US 84/99     
4-178-02.txt,IV. US 178/02,2002-06-07,ConCo,sp. zn. 37 Cm 251/97     
4-178-02.txt,IV. US 178/02,2002-06-07,ConCo,cj. 13 Cmo 59/2000-56     
2-1380-17_1.txt,II. US 1380/17,2017-05-23,ConCo,ve veci Rokhlina proti Rusku stiznost c. 54071/00    
2-489-07_1.txt,II. US 489/07,2007-04-17,ConCo,ve veci Van der Mussele proti Belgii     
4-663-07_1.txt,IV. US 663/07,2007-07-24,ConCo,ve veci Bulena proti Ceske republice     
3-384-01.txt,III. US 384/01,2001-10-09,ConCo,v Brne - 34 Cm 132/2000-108     
3-384-01.txt,III. US 384/01,2001-10-09,ConCo,Krajsky soud v Brne - 49 Co 322/2001     
4-280-07.txt,IV. US 280/07,2007-03-21,ConCo,c. 130     
4-280-07.txt,IV. US 280/07,2007-03-21,ConCo,c. 132     
4-280-07.txt,IV. US 280/07,2007-03-21,ConCo,c. 55     
4-2137-14_1.txt,IV. US 2137/14,2014-07-02,ConCo,c. 88     
2-740-18_1.txt,II. US 740/18,2018-05-02,ConCo,publikovane pod c. 238/2004 Sb. NSS     
2-507-02.txt,II. US 507/02,2003-02-18,ConCo,publikovaneho pod c. 32/2003 Sb.     
Pl-36-06.txt,Pl. US 36/06,2006-11-14,ConCo,svazek 34 nalez c. 133 svazek 39 svazek 37 nalez c. 108 svazek 36
Pl-36-06.txt,Pl. US 36/06,2006-11-14,ConCo,vyhlaseny pod c. 567/2004 Sb.     
Pl-36-06.txt,Pl. US 36/06,2006-11-14,ConCo,vyhlasen pod c. 445/2006 Sb.     
Pl-36-06.txt,Pl. US 36/06,2006-11-14,ConCo,vyhlasen pod c. 556/2002 Sb.     
4-883-15_1.txt,IV. US 883/15,2015-10-01,ConCo,sp. zn. 47 EXE 705/2012     
4-883-15_1.txt,IV. US 883/15,2015-10-01,ConCo,vcetne usneseni c. j. 25 C 283/2009-27     
4-462-02.txt,IV. US 462/02,2002-08-26,ConCo,sp. zn. 16 C 156/2002     
4-462-02.txt,IV. US 462/02,2002-08-26,ConCo,US - st - 1/96     
1-168-02.txt,I. US 168/02,2003-07-02,ConCo,c. j. M/100671/99 SRK/599 P-916/99     
1-408-06.txt,I. US 408/06,2006-07-17,ConCo,sp. zn. 18 C 68/95     
1-408-06.txt,I. US 408/06,2006-07-17,ConCo,c. j. 24 C 117/2004-38     
1-408-06.txt,I. US 408/06,2006-07-17,ConCo,c. j. 20 Co 91/2006-52     
1-408-06.txt,I. US 408/06,2006-07-17,ConCo,374 - 375     
2-978-11_1.txt,II. US 978/11,2011-10-05,ConCo,stiznost proti rozsudkum Krajskeho soudu v Brne c. j. 24 C 1/2001-406     
2-4050-16_1.txt,II. US 4050/16,2017-05-02,ConCo,sp. zn. 2 Cdon 609/97     
2-4050-16_1.txt,II. US 4050/16,2017-05-02,ConCo,c. 78/2015 Sbirky soudnich rozhodnuti a stanovisek     
