ssource_file,docket_number,date,court,reference,source_file2,date2,court2
Pl-12-14_2.txt,Pl. US 12/14,2015-06-16,ConCo,9 Afs 107/2013,0107_9Afs_13_20140320143728_prevedeno.txt,2014-03-06,SupAdmCo
2-2870-11_1.txt,II. US 2870/11,2012-02-14,ConCo,4 As 3/2008,0003_4As__0800078A_prevedeno.txt,2010-08-24,SupAdmCo
2-1248-16_1.txt,II. US 1248/16,2016-05-17,ConCo,6 As 208/2014-23,0208_6As__1400023_20150615153717_prevedeno.txt,2015-06-03,SupAdmCo
2-1248-16_1.txt,II. US 1248/16,2016-05-17,ConCo,1 As 100/2008-61,0100_1As__0800061A_prevedeno.txt,2008-12-17,SupAdmCo
2-3505-15_1.txt,II. US 3505/15,2016-02-17,ConCo,8 As 179/2014-86,0179_8As__1400086_20150624082146_prevedeno.txt,2015-05-26,SupAdmCo
2-3505-15_1.txt,II. US 3505/15,2016-02-17,ConCo,6 Afs 30/2015-70,0030_6Afs_1500070_20150702113137_prevedeno.txt,2015-06-25,SupAdmCo
4-284-05.txt,IV. US 284/05,2005-05-30,ConCo,5 Ads 43/2003,0043_5Ads_0300064A_prevedeno.txt,2003-08-12,SupAdmCo
4-284-05.txt,IV. US 284/05,2005-05-30,ConCo,5 Afs 13/2003,0013_5Afs_0300058A_prevedeno.txt,2003-09-25,SupAdmCo
3-2877-18_1.txt,III. US 2877/18,2018-09-18,ConCo,8 Afs 29/2011-78,0029_8Afs_110_20121009022347_prevedeno.txt,2012-09-18,SupAdmCo
3-2877-18_1.txt,III. US 2877/18,2018-09-18,ConCo,2 Ans 3/2006-49,0003_2Ans_0600049A_prevedeno.txt,2007-04-24,SupAdmCo
3-2877-18_1.txt,III. US 2877/18,2018-09-18,ConCo,6 As 68/2017-53,0068_6As__1700053_20170613090856_prevedeno.txt,2017-06-07,SupAdmCo
3-2877-18_1.txt,III. US 2877/18,2018-09-18,ConCo,6 Ads 88/2006-132,0088_6Ads_0600132A_prevedeno.txt,2009-07-21,SupAdmCo
3-4057-16_1.txt,III. US 4057/16,2017-09-12,ConCo,3 As 4/2010-151,0004_3As__100_20110803122057_prevedeno.txt,2011-07-26,SupAdmCo
1-1180-17_1.txt,I. US 1180/17,2017-07-18,ConCo,8 As 109/2015,0109_8As__1500038_20160111154026_prevedeno.txt,2016-01-06,SupAdmCo
1-1180-17_1.txt,I. US 1180/17,2017-07-18,ConCo,1 As 106/2013,0106_1As__13_20140304163839_prevedeno.txt,2014-02-06,SupAdmCo
2-851-07_2.txt,II. US 851/07,2009-06-11,ConCo,9 Afs 100/2007,0100_9Afs_0700052A_prevedeno.txt,2009-02-05,SupAdmCo
2-851-07_2.txt,II. US 851/07,2009-06-11,ConCo,9 Afs 100/2007-52,0100_9Afs_0700052A_prevedeno.txt,2009-02-05,SupAdmCo
3-3162-09_1.txt,III. US 3162/09,2010-02-17,ConCo,7 Afs 95/2006,0095_7Afs_0600056A_prevedeno.txt,2007-05-23,SupAdmCo
3-3162-09_1.txt,III. US 3162/09,2010-02-17,ConCo,7 Afs 13/2007,0013_7Afs_0700063A_prevedeno.txt,2008-08-28,SupAdmCo
1-2395-10_1.txt,I. US 2395/10,2010-10-26,ConCo,5 Afs 147/2007-103,0147_5Afs_0700103A_prevedeno.txt,2008-05-29,SupAdmCo
4-978-15_1.txt,IV. US 978/15,2015-09-16,ConCo,7 As 101/2011,0101_7As__110_20111129013328_prevedeno.txt,2011-11-26,SupAdmCo
4-1615-07_1.txt,IV. US 1615/07,2007-12-05,ConCo,3 As 35/2006-87,0028_7As__1200001_prevedeno.txt,2007-03-21,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,5 Afs 42/2004,0042_5Afs_0400061AA_prevedeno.txt,2006-05-31,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,6 Afs 25/2003,0025_6Afs_0300064A_prevedeno.txt,2005-03-17,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,2 Afs 1/2006,0001_2Afs_0600119A_prevedeno.txt,2006-11-28,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,1 Afs 108/2006,0108_1Afs_0600104A_prevedeno.txt,2007-03-21,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,3 Ads 1/2007,0001_3Ads_0700068A_prevedeno.txt,2007-05-16,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,8 Afs 95/2005,0095_8Afs_0500106A_prevedeno.txt,2007-11-26,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,7 Afs 23/2007,0023_7Afs_0700092A_prevedeno.txt,2007-11-08,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,4 Ads 11/2007,0011_4Ads_070_20110615084221_prevedeno.txt,2007-12-12,SupAdmCo
3-2023-07_1.txt,III. US 2023/07,2008-08-20,ConCo,9 Afs 86/2007,0086_9Afs_0700183A_prevedeno.txt,2008-03-19,SupAdmCo
4-3324-11_1.txt,IV. US 3324/11,2012-01-30,ConCo,2 As 75/2009,0075_2As__0900113A_prevedeno.txt,2011-08-23,SupAdmCo
3-2865-15_1.txt,III. US 2865/15,2016-03-23,ConCo,2 Afs 187/2004-69,0187_2Afs_0400069A_prevedeno.txt,2005-07-22,SupAdmCo
2-365-04.txt,II. US 365/04,2005-09-14,ConCo,Konf 51/2004-9,005111Konf0400009A_prevedeno.txt,2005-05-04,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,6 Aps 2/2007-134,0002_6Aps_0700134A_prevedeno.txt,2009-03-12,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,3 As 15/2007-37,0015_3As__0700037A_prevedeno.txt,2007-09-05,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,2 As 52/2010-59,0052_2As__1000_406e3ea0_2264_4874_b8e2_f78ede240f45_prevedeno.txt,2010-08-19,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,7 As 147/2012-23,0147_7As__120_20121217143933_prevedeno.txt,2012-11-22,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,4 As 223/2015-43,0223_4As__1500043_20160113122656_prevedeno.txt,2015-12-16,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,1 Ao 1/2009-120,0001_1Ao__0900120A_prevedeno.txt,2009-07-21,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,4 Ads 134/2014-29,0134_4Ads_1400029_20141119104139_prevedeno.txt,2014-11-30,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,4 Ads 85/2015-57,0085_4Ads_1500057_20160205093540_prevedeno.txt,2016-01-27,SupAdmCo
1-2637-17_1.txt,I. US 2637/17,2018-01-23,ConCo,4 Ads 85/2015,0085_4Ads_1500057_20160205093540_prevedeno.txt,2016-01-27,SupAdmCo
2-4348-12_1.txt,II. US 4348/12,2013-03-07,ConCo,8 As 59/2010-78,0059_8As__1000_20101004093332_prevedeno.txt,2010-09-21,SupAdmCo
